time,throughput,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,0
0.2,0,0,0,0
0.4,0,0,0,0
0.6,0,0,0,0
0.8,0,0,0,0
1,0,0,0,0
1.2,7.57185,0,0,0
1.4,7.57185,0,0,0
1.6,7.57185,0,0,0
1.8,7.57185,0,0,0
2,7.57185,0,0,0
2.2,7.69072,0.0007,0.00035,0
2.4,7.69072,0.0007,0.00035,0
2.6,7.69072,0.0007,0.00035,0
2.8,7.69072,0.0007,0.00035,0
3,7.69072,0.0007,0.00035,0
3.2,7.72558,0.0021,0.0007,0
3.4,7.72558,0.0021,0.0007,0
3.6,7.72558,0.0021,0.0007,0
3.8,7.72558,0.0021,0.0007,0
4,7.72558,0.0021,0.0007,0
4.2,7.74738,0.0028,0.0007,0
4.4,7.74738,0.0028,0.0007,0
4.6,7.74738,0.0028,0.0007,0
4.8,7.74738,0.0028,0.0007,0
5,7.74738,0.0028,0.0007,0
5.2,7.75939,0.0028,0.00056,0
5.4,7.75939,0.0028,0.00056,0
5.6,7.75939,0.0028,0.00056,0
5.8,7.75939,0.0028,0.00056,0
6,7.75939,0.0028,0.00056,0
6.2,7.7669,0.0035,0.000583333,0
6.4,7.7669,0.0035,0.000583333,0
6.6,7.7669,0.0035,0.000583333,0
6.8,7.7669,0.0035,0.000583333,0
7,7.7669,0.0035,0.000583333,0
7.2,7.71068,0.0092,0.00143333,0
7.4,7.71068,0.0092,0.00143333,0
7.6,7.71068,0.0092,0.00143333,0
7.8,7.71068,0.0092,0.00143333,0
8,7.71068,0.0092,0.00143333,0
8.2,7.71328,0.01095,0.00157708,0
8.4,7.71328,0.01095,0.00157708,0
8.6,7.71328,0.01095,0.00157708,0
8.8,7.71328,0.01095,0.00157708,0
9,7.71328,0.01095,0.00157708,0
9.2,7.68594,0.012,0.00149206,0
9.4,7.68594,0.012,0.00149206,0
9.6,7.68594,0.012,0.00149206,0
9.8,7.68594,0.012,0.00149206,0
10,7.68594,0.012,0.00149206,0
10.2,7.68594,0.012,0.00149206,0
10.4,7.68594,0.012,0.00149206,0
10.6,7.68594,0.012,0.00149206,0
10.8,7.68594,0.012,0.00149206,0
11,7.68594,0.012,0.00149206,20
11.2,7.68594,0.012,0.00149206,20
11.4,7.68594,0.012,0.00149206,20
11.6,7.68594,0.012,0.00149206,20
11.8,7.68594,0.012,0.00149206,20
12,7.68594,0.012,0.00149206,21
12.2,7.68594,0.012,0.00149206,21
12.4,7.68594,0.012,0.00149206,21
12.6,7.68594,0.012,0.00149206,21
12.8,7.68594,0.012,0.00149206,21
13,7.68594,0.012,0.00149206,22
13.2,7.68594,0.012,0.00149206,22
13.4,7.68594,0.012,0.00149206,22
13.6,7.68594,0.012,0.00149206,22
13.8,7.68594,0.012,0.00149206,22
14,7.68594,0.012,0.00149206,23
14.2,7.68594,0.012,0.00149206,23
14.4,7.68594,0.012,0.00149206,23
14.6,7.68594,0.012,0.00149206,23
14.8,7.68594,0.012,0.00149206,23
15,7.68594,0.012,0.00149206,24
15.2,7.68594,0.012,0.00149206,24
15.4,7.68594,0.012,0.00149206,24
15.6,7.68594,0.012,0.00149206,24
15.8,7.68594,0.012,0.00149206,24
16,7.68594,0.012,0.00149206,25
16.2,7.68594,0.012,0.00149206,25
16.4,7.68594,0.012,0.00149206,25
16.6,7.68594,0.012,0.00149206,25
16.8,7.68594,0.012,0.00149206,25
17,7.68594,0.012,0.00149206,27
17.2,7.68594,0.012,0.00149206,27
17.4,7.68594,0.012,0.00149206,27
17.6,7.68594,0.012,0.00149206,27
17.8,7.68594,0.012,0.00149206,27
18,7.68594,0.012,0.00149206,28
18.2,7.68594,0.012,0.00149206,28
18.4,7.68594,0.012,0.00149206,28
18.6,7.68594,0.012,0.00149206,28
18.8,7.68594,0.012,0.00149206,28
19,7.68594,0.012,0.00149206,31
19.2,7.68594,0.012,0.00149206,31
19.4,7.68594,0.012,0.00149206,31
19.6,7.68594,0.012,0.00149206,31
19.8,7.68594,0.012,0.00149206,31
