time,throughput,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,0
0.2,0,0,-nan,0
0.4,0,0,-nan,0
0.6,0,0,-nan,0
0.8,0,0,-nan,0
1,0,0,-nan,0
1.2,6.73759,0,-nan,0
1.4,6.73759,0,-nan,0
1.6,6.73759,0,-nan,0
1.8,6.73759,0,-nan,0
2,6.73759,0,-nan,0
2.2,7.04392,0.006925,-nan,0
2.4,7.04392,0.006925,-nan,0
2.6,7.04392,0.006925,-nan,0
2.8,7.04392,0.006925,-nan,0
3,7.04392,0.006925,-nan,0
3.2,7.01926,0.01445,-nan,0
3.4,7.01926,0.01445,-nan,0
3.6,7.01926,0.01445,-nan,0
3.8,7.01926,0.01445,-nan,0
4,7.01926,0.01445,-nan,0
4.2,7.06165,0.022525,-nan,0
4.4,7.06165,0.022525,-nan,0
4.6,7.06165,0.022525,-nan,0
4.8,7.06165,0.022525,-nan,0
5,7.06165,0.022525,-nan,0
5.2,7.02684,0.030075,-nan,0
5.4,7.02684,0.030075,-nan,0
5.6,7.02684,0.030075,-nan,0
5.8,7.02684,0.030075,-nan,0
6,7.02684,0.030075,-nan,0
6.2,7.0838,0.039525,-nan,0
6.4,7.0838,0.039525,-nan,0
6.6,7.0838,0.039525,-nan,0
6.8,7.0838,0.039525,-nan,0
7,7.0838,0.039525,-nan,0
7.2,7.15436,0.0456,-nan,0
7.4,7.15436,0.0456,-nan,0
7.6,7.15436,0.0456,-nan,0
7.8,7.15436,0.0456,-nan,0
8,7.15436,0.0456,-nan,0
8.2,7.20346,0.05655,-nan,0
8.4,7.20346,0.05655,-nan,0
8.6,7.20346,0.05655,-nan,0
8.8,7.20346,0.05655,-nan,0
9,7.20346,0.05655,-nan,0
9.2,7.20673,0.06455,-nan,0
9.4,7.20673,0.06455,-nan,0
9.6,7.20673,0.06455,-nan,0
9.8,7.20673,0.06455,-nan,0
10,7.20673,0.06455,-nan,0
10.2,7.22173,0.07655,-nan,0
10.4,7.22173,0.07655,-nan,0
10.6,7.22173,0.07655,-nan,0
10.8,7.22173,0.07655,-nan,0
11,7.22173,0.07655,-nan,40
11.2,7.17944,0.088775,-nan,40
11.4,7.17944,0.088775,-nan,40
11.6,7.17944,0.088775,-nan,40
11.8,7.17944,0.088775,-nan,40
12,7.17944,0.088775,-nan,46
12.2,7.1774,0.1028,0.0104861,46
12.4,7.1774,0.1028,0.0104861,46
12.6,7.1774,0.1028,0.0104861,46
12.8,7.1774,0.1028,0.0104861,46
13,7.1774,0.1028,0.0104861,51
13.2,7.24656,0.1236,0.0130879,51
13.4,7.24656,0.1236,0.0130879,51
