time,throughput,throughputAbs,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,-nan,0
0.2,0,0,0,0,0
0.4,0,0,0,0,0
0.6,0,0,0,0,0
0.8,0,0,0,0,0
1,0,0,0,0,0
1.2,6.88198,5.9176,0,0,0
1.4,6.88198,5.07223,0,0,0
1.6,6.88198,4.4382,0,0,0
1.8,6.88198,3.94507,0,0,0
2,6.88198,3.55056,0,0,0
2.2,7.23662,6.49642,0.0218652,0.0109326,0
2.4,7.31952,6.02996,0.0218652,0.0109326,0
2.6,7.31952,5.56612,0.0218652,0.0109326,0
2.8,7.31952,5.16854,0.0218652,0.0109326,0
3,7.31952,4.82397,0.0218652,0.0109326,0
3.2,7.51318,6.91011,0.0470787,0.0162978,0
3.4,7.51318,6.50364,0.0470787,0.0162978,0
3.6,7.51318,6.14232,0.0470787,0.0162978,0
3.8,7.51318,5.81904,0.0470787,0.0162978,0
4,7.51318,5.52809,0.0470787,0.0162978,0
4.2,7.58378,6.99839,0.0717303,0.0186208,0
4.4,7.58378,6.68029,0.0717303,0.0186208,0
4.6,7.58378,6.38984,0.0717303,0.0186208,0
4.8,7.58378,6.1236,0.0717303,0.0186208,0
5,7.58378,5.87865,0.0717303,0.0186208,0
5.2,7.56166,7.20614,0.0946517,0.0198122,0
5.4,7.56166,6.93924,0.0946517,0.0198122,0
5.6,7.56166,6.69141,0.0946517,0.0198122,0
5.8,7.56166,6.46067,0.0946517,0.0198122,0
6,7.56166,6.24532,0.0946517,0.0198122,0
6.2,7.57929,7.19645,0.118169,0.0205625,0
6.4,7.57929,6.97156,0.118169,0.0205625,0
6.6,7.57929,6.7603,0.118169,0.0205625,0
6.8,7.57929,6.56147,0.118169,0.0205625,0
7,7.57929,6.374,0.118169,0.0205625,0
7.2,7.54317,7.26592,0.145438,0.0217309,0
7.4,7.54317,7.06954,0.145438,0.0217309,0
7.6,7.54317,6.8835,0.145438,0.0217309,0
7.8,7.54317,6.707,0.145438,0.0217309,0
8,7.54317,6.53933,0.145438,0.0217309,0
8.2,7.55485,7.32666,0.171876,0.0225662,0
8.4,7.55485,7.15222,0.171876,0.0225662,0
8.6,7.55485,6.98589,0.171876,0.0225662,0
8.8,7.55485,6.82712,0.171876,0.0225662,0
9,7.55485,6.67541,0.171876,0.0225662,0
9.2,7.59218,7.34367,0.194798,0.022595,0
9.4,7.58747,7.19699,0.195921,0.0227358,0
9.6,7.58747,7.04705,0.195921,0.0227358,0
9.8,7.58747,6.90323,0.195921,0.0227358,0
10,7.58747,6.76517,0.195921,0.0227358,0
10.2,7.61245,7.43005,0.219989,0.0229476,0
10.4,7.61245,7.28717,0.219989,0.0229476,0
10.6,7.61245,7.14967,0.219989,0.0229476,0
10.8,7.61245,7.01727,0.219989,0.0229476,0
11,7.61245,6.88968,0.219989,0.0229476,89
11.2,7.62086,7.44783,0.24709,0.0234495,89
11.4,7.62086,7.31717,0.24709,0.0234495,89
11.6,7.62086,7.19101,0.24709,0.0234495,89
11.8,7.62086,7.06913,0.24709,0.0234495,89
12,7.62086,6.95131,0.24709,0.0234495,99
12.2,7.63274,7.44612,0.271348,0.0236371,99
12.4,7.63274,7.32602,0.271348,0.0236371,99
12.6,7.63274,7.20974,0.271348,0.0236371,99
12.8,7.63274,7.09709,0.271348,0.0236371,99
13,7.63274,6.9879,0.271348,0.0236371,106
13.2,7.63085,7.44127,0.293865,0.023645,106
13.4,7.63085,7.3302,0.293865,0.023645,106
13.6,7.63085,7.22241,0.293865,0.023645,106
13.8,7.63085,7.11773,0.293865,0.023645,106
14,7.63085,7.01605,0.293865,0.023645,110
14.2,7.63177,7.47666,0.315663,0.0236336,110
14.4,7.63177,7.37282,0.315663,0.0236336,110
14.6,7.63177,7.27182,0.315663,0.0236336,110
14.8,7.63177,7.17355,0.315663,0.0236336,110
15,7.63177,7.0779,0.315663,0.0236336,118
15.2,7.62756,7.46969,0.340438,0.0237796,118
15.4,7.62756,7.37268,0.340438,0.0237796,118
15.6,7.62756,7.27816,0.340438,0.0237796,118
15.8,7.62756,7.18603,0.340438,0.0237796,118
16,7.62756,7.09621,0.340438,0.0237796,126
16.2,7.62181,7.47122,0.366584,0.0239953,126
16.4,7.62181,7.3801,0.366584,0.0239953,126
16.6,7.62181,7.29119,0.366584,0.0239953,126
16.8,7.62181,7.20439,0.366584,0.0239953,126
17,7.62181,7.11963,0.366584,0.0239953,136
17.2,7.61501,7.4608,0.391483,0.0241643,136
17.4,7.61501,7.37505,0.391483,0.0241643,136
17.6,7.61501,7.29124,0.391483,0.0241643,136
17.8,7.61501,7.20932,0.391483,0.0241643,136
18,7.61501,7.12921,0.391483,0.0241643,140
18.2,7.61692,7.45956,0.41491,0.0242047,140
18.4,7.61692,7.37848,0.41491,0.0242047,140
18.6,7.61692,7.29914,0.41491,0.0242047,140
18.8,7.61692,7.22149,0.41491,0.0242047,140
19,7.61692,7.14548,0.41491,0.0242047,143
19.2,7.61154,7.47952,0.439562,0.0243476,143
19.4,7.61154,7.40241,0.439562,0.0243476,143
19.6,7.61154,7.32687,0.439562,0.0243476,143
19.8,7.61154,7.25287,0.439562,0.0243476,143
20,7.61154,7.18034,0.439562,0.0243476,148
20.2,7.57751,7.46301,0.464292,0.0245182,148
20.4,7.57751,7.38984,0.464292,0.0245182,148
20.6,7.57751,7.3181,0.464292,0.0245182,148
