time,throughput,accJitter,meanJitter,lostPackets
0,-nan,-nan,-nan,0
0.2,0,0,0,0
0.4,0,0,0,0
0.6,0,0,0,0
0.8,0,0,0,0
1,0,0,0,0
1.2,6.79004,0,0,0
1.4,6.79004,0,0,0
1.6,6.79004,0,0,0
1.8,6.79004,0,0,0
2,6.79004,0,0,0
2.2,7.33344,0.0189556,0.00947778,0
2.4,7.4158,0.0189556,0.00947778,0
2.6,7.4158,0.0189556,0.00947778,0
2.8,7.4158,0.0189556,0.00947778,0
3,7.4158,0.0189556,0.00947778,0
3.2,7.55516,0.0438778,0.0153111,0
3.4,7.55516,0.0438778,0.0153111,0
3.6,7.55516,0.0438778,0.0153111,0
3.8,7.55516,0.0438778,0.0153111,0
4,7.55516,0.0438778,0.0153111,0
4.2,7.59256,0.0679222,0.0178917,0
4.4,7.57166,0.0691,0.0182657,0
4.6,7.57166,0.0691,0.0182657,0
4.8,7.57166,0.0691,0.0182657,0
5,7.57166,0.0691,0.0182657,0
5.2,7.58197,0.0912111,0.0194648,0
5.4,7.58197,0.0912111,0.0194648,0
5.6,7.58197,0.0912111,0.0194648,0
5.8,7.58197,0.0912111,0.0194648,0
6,7.58197,0.0912111,0.0194648,0
6.2,7.57748,0.1156,0.0205556,0
6.4,7.57748,0.1156,0.0205556,0
6.6,7.57748,0.1156,0.0205556,0
6.8,7.57748,0.1156,0.0205556,0
7,7.57748,0.1156,0.0205556,0
7.2,7.56446,0.143122,0.021786,0
7.4,7.56446,0.143122,0.021786,0
7.6,7.56446,0.143122,0.021786,0
7.8,7.56446,0.143122,0.021786,0
8,7.56446,0.143122,0.021786,0
8.2,7.54782,0.169378,0.0223596,0
8.4,7.54782,0.169378,0.0223596,0
8.6,7.54782,0.169378,0.0223596,0
8.8,7.54782,0.169378,0.0223596,0
9,7.54782,0.169378,0.0223596,0
9.2,7.59302,0.192711,0.0224313,0
9.4,7.59302,0.192711,0.0224313,0
9.6,7.59302,0.192711,0.0224313,0
9.8,7.59302,0.192711,0.0224313,0
10,7.59302,0.192711,0.0224313,0
10.2,7.61154,0.216189,0.0225844,0
10.4,7.61154,0.216189,0.0225844,0
10.6,7.61154,0.216189,0.0225844,0
10.8,7.61154,0.216189,0.0225844,0
11,7.61154,0.216189,0.0225844,90
11.2,7.62586,0.241656,0.0229273,90
11.4,7.61527,0.242811,0.0231428,90
11.6,7.61527,0.242811,0.0231428,90
11.8,7.61527,0.242811,0.0231428,90
12,7.61527,0.242811,0.0231428,101
12.2,7.62329,0.266856,0.0232343,101
12.4,7.62329,0.266856,0.0232343,101
12.6,7.62329,0.266856,0.0232343,101
12.8,7.62329,0.266856,0.0232343,101
13,7.62329,0.266856,0.0232343,105
13.2,7.6376,0.290244,0.0233165,105
13.4,7.6376,0.290244,0.0233165,105
13.6,7.6376,0.290244,0.0233165,105
13.8,7.6376,0.290244,0.0233165,105
14,7.6376,0.290244,0.0233165,111
14.2,7.64606,0.312833,0.0234738,111
14.4,7.64154,0.313578,0.0235348,111
14.6,7.64154,0.313578,0.0235348,111
14.8,7.64154,0.313578,0.0235348,111
15,7.64154,0.313578,0.0235348,120
15.2,7.62713,0.338144,0.0236773,120
15.4,7.62459,0.339044,0.0237543,120
15.6,7.62459,0.339044,0.0237543,120
15.8,7.62459,0.339044,0.0237543,120
16,7.62459,0.339044,0.0237543,129
16.2,7.61137,0.366,0.0241609,129
16.4,7.61137,0.366,0.0241609,129
16.6,7.61137,0.366,0.0241609,129
16.8,7.61137,0.366,0.0241609,129
17,7.61137,0.366,0.0241609,138
17.2,7.59857,0.389522,0.0242173,138
17.4,7.59857,0.389522,0.0242173,138
17.6,7.59857,0.389522,0.0242173,138
17.8,7.59857,0.389522,0.0242173,138
18,7.59857,0.389522,0.0242173,141
18.2,7.60378,0.413844,0.0242463,141
18.4,7.60378,0.413844,0.0242463,141
18.6,7.60378,0.413844,0.0242463,141
18.8,7.60378,0.413844,0.0242463,141
19,7.60378,0.413844,0.0242463,146
19.2,7.60339,0.437433,0.0242397,146
19.4,7.60073,0.438067,0.0242663,146
19.6,7.60073,0.438067,0.0242663,146
19.8,7.60073,0.438067,0.0242663,146
20,7.60073,0.438067,0.0242663,150
20.2,7.58359,0.458022,0.0245691,150
20.4,7.58359,0.458022,0.0245691,150
20.6,7.58359,0.458022,0.0245691,150
20.8,7.58359,0.458022,0.0245691,150
21,7.58359,0.458022,0.0245691,158
21.2,7.51114,0.496356,0.0254921,158
21.4,7.51114,0.496356,0.0254921,158
21.6,7.51114,0.496356,0.0254921,158
21.8,7.51114,0.496356,0.0254921,158
22,7.51114,0.496356,0.0254921,162
22.2,7.51962,0.523956,0.0257749,162
22.4,7.51962,0.523956,0.0257749,162
22.6,7.51962,0.523956,0.0257749,162
22.8,7.51962,0.523956,0.0257749,162
23,7.51962,0.523956,0.0257749,165
23.2,7.51583,0.5508,0.0258504,165
23.4,7.51583,0.5508,0.0258504,165
23.6,7.51583,0.5508,0.0258504,165
23.8,7.51583,0.5508,0.0258504,165
24,7.51583,0.5508,0.0258504,172
24.2,7.54114,0.573233,0.0256794,172
24.4,7.54114,0.573233,0.0256794,172
24.6,7.54114,0.573233,0.0256794,172
24.8,7.54114,0.573233,0.0256794,172
25,7.54114,0.573233,0.0256794,185
25.2,7.56555,0.595178,0.0254821,185
25.4,7.56555,0.595178,0.0254821,185
